subject,predicate,object,source,validity
stoat,hypernym,vertebrate,wordnet/conceptnet,always true
Nick Rhodes,band member,TV Mania,wikidata,always true
Sky Saxon,band member,The Seeds,wikidata,always true
person,/r/Desires,dsl,conceptnet,always true
Thomas K. Corrick,CEO,Boise Cascade,wikidata,always true
Franca: Chaos and Creation,hypernym,movie,wikidata,always true
chicory,hypernym,herb,wordnet/conceptnet,always true
cheetah,meronym,paw,wordnet/conceptnet,always true
deer,meronym,face,wordnet/conceptnet,always true
basil,hypernym,herb,wordnet/conceptnet,always true
cockerel,meronym,vacuole,wordnet/conceptnet,always true
M. Chad Crow,CEO,Builders FirstSource,wikidata,always true
Leena Peisa,band member,Dolchamar,wikidata,always true
York,headquarter,Dentsply Sirona,wikidata,always true
Project Pitchfork,hypernym,band,wikidata,always true
Ray Dolby,hypernym,person,wikidata,always true
Elizabeth Taylor,spouse,John Warner,wikidata,always true
Cairo,capital,Egypt,wikidata,always true
church,meronym,stair,wordnet/conceptnet,always true
Helen,spouse,Ed Gallagher,wikidata,always true
Bob Dylan,hypernym,person,wikidata,always true
official,/r/IsA,adjudicator,conceptnet,always true
horse,meronym,nucleus,wordnet/conceptnet,always true
Barbara O'Neil,hypernym,person,wikidata,always true
Catharine Cox,spouse,Walter Richard Miles,wikidata,always true
Ronna Gradus,director,Hot Girls Wanted,wikidata,always true
vertebrate,meronym,tail,wordnet/conceptnet,always true
Amund Maarud,band member,The Grand,wikidata,always true
The Competition,hypernym,movie,wikidata,always true
person,/r/Desires,play,conceptnet,always true
otter,meronym,brain,wordnet/conceptnet,always true
Chicago,headquarter,Exelon,wikidata,always true
San Francisco 49ers,super bowl winner,1982,wikidata,always true
Deborah Jean Smith,hypernym,person,wikidata,always true
Catherine Alice Quaintance,spouse,Charles Elliott Storer,wikidata,always true
molecule,/r/IsA,collection of atoms,conceptnet,always true
Sarah,child,Mike Marshall,wikidata,always true
Charlotte,child,Victoria Grayson,wikidata,always true
Alan White,band member,Cinema,wikidata,always true
beriberi,hypernym,disease,wordnet/conceptnet,always true
kitten,meronym,eye,wordnet/conceptnet,always true
Geetu Mohandas,director,Liar's Dice,wikidata,always true
Billy Morrissette,spouse,Maura Tierney,wikidata,always true
crab,meronym,nucleus,wordnet/conceptnet,always true
Don Maitz,spouse,Janny Wurts,wikidata,always true
mustard,meronym,organelle,wordnet/conceptnet,always true
"It's Okay, Buddy",hypernym,movie,wikidata,always true
John Steinbeck,hypernym,person,wikidata,always true
alsatian,meronym,cheek,wordnet/conceptnet,always true
Peter Segal,director,Get Smart,wikidata,always true
goat,meronym,vacuole,wordnet/conceptnet,always true
drone,meronym,organelle,wordnet/conceptnet,always true
Henry,spouse,Dorothy Waller Tazewell,wikidata,always true
Carolina Panthers,super bowl loser,2016,wikidata,always true
laundry,hypernym,garment,wordnet/conceptnet,always true
Terry Jones,director,Monty Python and the Holy Grail,wikidata,always true
grass,/r/IsA,arounds houses,conceptnet,always true
Erwin Flores,band member,Los Saicos,wikidata,always true
Amanda Seyfried,hypernym,person,wikidata,always true
Richard DeVos,founder,Amway,wikidata,always true
boss,meronym,nucleus,wordnet/conceptnet,always true
Hunter's Prayer,hypernym,movie,wikidata,always true
Erika Monroe,spouse,Matt Williams,wikidata,always true
Eric,child,Brian Avery,wikidata,always true
Eleanor Perry,hypernym,person,wikidata,always true
dormouse,meronym,lip,wordnet/conceptnet,always true
Pittsburgh,headquarter,Allegheny Technologies,wikidata,always true
dinner,hypernym,meal,wordnet/conceptnet,always true
Chad,hypernym,country,wikidata,always true
beer,hypernym,food,wordnet/conceptnet,always true
Stephan Whitton,band member,Soothsayer,wikidata,always true
atom,hypernym,material,wordnet/conceptnet,always true
Denise Gordy,spouse,Richard Lawson,wikidata,always true
Taiwan,hypernym,country,wikidata,always true
Robert Rodriguez,director,Sin City,wikidata,always true
biotite,hypernym,mineral,wordnet/conceptnet,always true
soda,hypernym,food,wordnet/conceptnet,always true
Dave Rowntree,band member,Blur,wikidata,always true
Alexander,child,Leonard Bernstein,wikidata,always true
Ruthanna Hopper,hypernym,person,wikidata,always true
cockerel,meronym,organelle,wordnet/conceptnet,always true
Henry T.,child,Harvey Seeley Mudd,wikidata,always true
Jamie Weinstein,spouse,Michelle Fields,wikidata,always true
Westlake,headquarter,Nordson,wikidata,always true
Barbara Turner,hypernym,person,wikidata,always true
Toshiyuki Terui,band member,Blankey Jet City,wikidata,always true
prey,meronym,mouth,wordnet/conceptnet,always true
Alphabet,hypernym,company,wikidata,always true
Anders Norudde,band member,Hedningarna,wikidata,always true
arabesque,hypernym,decoration,wordnet/conceptnet,always true
Pocoyo & The Space Circus,hypernym,movie,wikidata,always true
hospital,meronym,courtyard,wordnet/conceptnet,always true
Edith Killgore Kirkpatrick,hypernym,person,wikidata,always true
person,/r/Desires,larger house,conceptnet,always true
Kim Darby,spouse,James Stacy,wikidata,always true
1971,release year,Willy Wonka & the Chocolate Factory,wikidata,always true
chick,meronym,brain,wordnet/conceptnet,always true
Atlanta,headquarter,Global Payments,wikidata,always true
Sarah Oldrin,hypernym,person,wikidata,always true
turkey,meronym,eye,wordnet/conceptnet,always true
William H. Macy,director,Krystal,wikidata,always true
Nicole Conn,director,A Perfect Ending,wikidata,always true
Paulo Vaz,band member,Supercombo,wikidata,always true
Colkatay Columbus,hypernym,movie,wikidata,always true
Wesley D.,spouse,Lois Smith,wikidata,always true
creepy-crawly,meronym,face,wordnet/conceptnet,always true
back,hypernym,surface,wordnet/conceptnet,always true
Evelyn Franklin,hypernym,person,wikidata,always true
Barnes & Noble,hypernym,company,wikidata,always true
greenhouse,meronym,base,wordnet/conceptnet,always true
sawdust,hypernym,material,wordnet/conceptnet,always true
Greg Ginn,band member,Mojack,wikidata,always true
John Maclean,director,Slow West,wikidata,always true
Cummins,hypernym,company,wikidata,always true
ladybird,hypernym,beetle,wordnet/conceptnet,always true
John Seward Johnson I,hypernym,person,wikidata,always true
guide,hypernym,assistant,wordnet/conceptnet,always true
optimist,hypernym,person,wordnet/conceptnet,always true
Vectren,hypernym,company,wikidata,always true
Jill Talley,hypernym,person,wikidata,always true
head,hypernym,leader,wordnet/conceptnet,always true
Larry D. Young,CEO,Dr Pepper Snapple Group,wikidata,always true
Benoît Jacquot,director,Diary of a Chambermaid,wikidata,always true
bottle,/r/PartOf,bottle of wine,conceptnet,always true
Jehane Noujaim,director,The Square,wikidata,always true
Calendar Girls,hypernym,movie,wikidata,always true
Shellac,hypernym,band,wikidata,always true
Spencer,spouse,Katrina Trask,wikidata,always true
Moses Farrow,child,Woody Allen,wikidata,always true
Diane Venora,spouse,Andrzej Bartkowiak,wikidata,always true
bowl,hypernym,container,wordnet/conceptnet,always true
Amelia Fletcher,band member,Heavenly,wikidata,always true
Gordon Van,child,Richard Van Gelder,wikidata,always true
Josh Neufeld,hypernym,person,wikidata,always true
broadcloth,hypernym,fabric,wordnet/conceptnet,always true
Joakim Karlsson,band member,Craft,wikidata,always true
Arconic,hypernym,company,wikidata,always true
theater,hypernym,building,wordnet/conceptnet,always true
curry,hypernym,food,wordnet/conceptnet,always true
squash,hypernym,game,wordnet/conceptnet,always true
Irving,headquarter,Vistra Energy,wikidata,always true
Lake Success,headquarter,Broadridge Financial Solutions,wikidata,always true
animal,/r/Desires,eat,conceptnet,always true
2018,release year,Zoo,wikidata,always true
Bill Burr: I'm Sorry You Feel That Way,hypernym,movie,wikidata,always true
Peter A.,child,John Jay,wikidata,always true
Wilson Cary Nicholas,child,"Robert Carter Nicholas, Sr.",wikidata,always true
farmhouse,meronym,drawer,wordnet/conceptnet,always true
Trisha Ziff,director,A Tale of Two Kitchens,wikidata,always true
Growing Up Coy,hypernym,movie,wikidata,always true
One Last Shot,hypernym,movie,wikidata,always true
Jimmy McCulloch,band member,Thunderclap Newman,wikidata,always true
Busted,hypernym,band,wikidata,always true
side,/r/IsA,cut,conceptnet,always true
Johan Brisinger,director,Jag älskar dig: En skilsmässokomedi,wikidata,always true
reptile,meronym,ear,wordnet/conceptnet,always true
Ferdy Doernberg,band member,Rough Silk,wikidata,always true
quack-quack,meronym,cell,wordnet/conceptnet,always true
rooster,meronym,head,wordnet/conceptnet,always true
Sidney Lumet,spouse,Gloria Vanderbilt,wikidata,always true
Gina Cowell,spouse,Richard Castle,wikidata,always true
John King,spouse,Dana Bash,wikidata,always true
Rudi Protrudi,band member,The Fuzztones,wikidata,always true
Nora,child,Marjorie Guthrie,wikidata,always true
Kayo Dot,hypernym,band,wikidata,always true
employee,hypernym,person,wordnet/conceptnet,always true
bull,meronym,chin,wordnet/conceptnet,always true
Robert H. Bolton,hypernym,person,wikidata,always true
admiration,hypernym,feeling,wordnet/conceptnet,always true
psychiatry,hypernym,medicine,wordnet/conceptnet,always true
Brian De Palma,spouse,Gale Anne Hurd,wikidata,always true
Justin Smith,band member,Shack,wikidata,always true
Sierra,child,Shontell McClain,wikidata,always true
expert,hypernym,individual,wordnet/conceptnet,always true
Korni,hypernym,band,wikidata,always true
Greer Grimsley,hypernym,person,wikidata,always true
cowshed,meronym,doorway,wordnet/conceptnet,always true
esophagitis,hypernym,inflammation,wordnet/conceptnet,always true
conger,meronym,nucleus,wordnet/conceptnet,always true
Antti Kokko,band member,Eternal Tears of Sorrow,wikidata,always true
KCMO,headquarter,Kansas City Southern,wikidata,always true
Samuel Ward,hypernym,person,wikidata,always true
Social Animals,hypernym,movie,wikidata,always true
chant,hypernym,music,wordnet/conceptnet,always true
Marv Wolfman,hypernym,person,wikidata,always true
Harry,child,Jim Chapin,wikidata,always true
David Serrano,director,We Need to Talk,wikidata,always true
Blair,spouse,Napoleon Hill,wikidata,always true
collapse,hypernym,illness,wordnet/conceptnet,always true
Brandon Flowers,band member,The Killers,wikidata,always true
porker,meronym,eye,wordnet/conceptnet,always true
ore,hypernym,material,wordnet/conceptnet,always true
hay,meronym,food,wordnet/conceptnet,always true
Alida Rockefeller Messinger,child,John D. Rockefeller III,wikidata,always true
cattle,hypernym,vertebrate,wordnet/conceptnet,always true
parent,/r/IsA,genitor,conceptnet,always true
Belly,hypernym,band,wikidata,always true
اشتباك,hypernym,movie,wikidata,always true
King James,hypernym,band,wikidata,always true
Michelle Kaufman,hypernym,person,wikidata,always true
duckling,hypernym,meat,wordnet/conceptnet,always true
Jeb,spouse,Columba Bush,wikidata,always true
Shararat,hypernym,movie,wikidata,always true
Evansville,headquarter,Berry Global Group,wikidata,always true
chick,hypernym,fowl,wordnet/conceptnet,always true
Rolf Pilve,band member,Dreamtale,wikidata,always true
hare,meronym,mouth,wordnet/conceptnet,always true
Volker Weicker,director,Dieter Nuhr: Nuhr in Berlin,wikidata,always true
Richard Mason,band member,Night Runners,wikidata,always true
Theodore,child,William Frederick Havemeyer,wikidata,always true
Francis George Roche,child,Frances Ellen Work,wikidata,always true
whale,/r/IsA,marine mammal,conceptnet,always true
piglet,meronym,nose,wordnet/conceptnet,always true
Susan Polis Schutz,hypernym,person,wikidata,always true
shade,/r/Antonym,bright,conceptnet,always true
Chairlift,hypernym,band,wikidata,always true
Joseph M. Zubretsky,CEO,Molina Healthcare,wikidata,always true
chapter,hypernym,music,wordnet/conceptnet,always true
fox,meronym,nucleus,wordnet/conceptnet,always true
Maurice,child,Lee Petty,wikidata,always true
Shepherds and Butchers,hypernym,movie,wikidata,always true
month,hypernym,period,wordnet/conceptnet,always true
Citizens Arrest,hypernym,band,wikidata,always true
Monica Lewis,spouse,Bob Thiele,wikidata,always true
Barbara O'Neil,spouse,Joshua Logan,wikidata,always true
temple,meronym,boiler,wordnet/conceptnet,always true
snow,/r/IsA,crystallized water,conceptnet,always true
FedEx,hypernym,company,wikidata,always true
Randy Owen,band member,Alabama,wikidata,always true
bedroom,meronym,wall,wordnet/conceptnet,always true
Alice Kim Cage,hypernym,person,wikidata,always true
goat,meronym,cell,wordnet/conceptnet,always true
Sakhi,hypernym,movie,wikidata,always true
Ty Tabor,band member,King's X,wikidata,always true
Henry Barker,child,Thomas Hill,wikidata,always true
"Stanley Maddox Rumbough, Jr.",hypernym,person,wikidata,always true
Cristina Raines,hypernym,person,wikidata,always true
Grant Show,spouse,Katherine LaNasa,wikidata,always true
Tony Alamo,hypernym,person,wikidata,always true
cowshed,meronym,floor,wordnet/conceptnet,always true
Gardenian,hypernym,band,wikidata,always true
nightcap,hypernym,quantity,wordnet/conceptnet,always true
June Carter Cash,child,Ezra Carter,wikidata,always true
Frances Gershwin,spouse,"Leopold Godowsky, Jr.",wikidata,always true
2005,release year,"Yours, Mine and Ours",wikidata,always true
sandalwood,hypernym,wood,wordnet/conceptnet,always true
time,/r/IsA,experience,conceptnet,always true
Jenna McDougall,band member,Tonight Alive,wikidata,always true
mongoose,meronym,nucleus,wordnet/conceptnet,always true
Loretta Young,hypernym,person,wikidata,always true
Andrés Couturier,director,Kung Fu Magoo,wikidata,always true
chaffinch,meronym,tail,wordnet/conceptnet,always true
Josh Koury,director,Voyeur,wikidata,always true
food,/r/IsA,substance,conceptnet,always true
The Kingston Trio,hypernym,band,wikidata,always true
hedge,meronym,base,wordnet/conceptnet,always true
rattlesnake,meronym,chin,wordnet/conceptnet,always true
canteen,hypernym,bottle,wordnet/conceptnet,always true
foxhound,meronym,mouth,wordnet/conceptnet,always true
Glen Corbett,hypernym,person,wikidata,always true
Pauline Payne Whitney,hypernym,person,wikidata,always true
Big Time,hypernym,movie,wikidata,always true
K's Choice,hypernym,band,wikidata,always true
yolk,hypernym,food,wordnet/conceptnet,always true
Larry Semon,spouse,Dorothy Dwan,wikidata,always true
Mikoi Sasaki,band member,Milky Holmes,wikidata,always true
duck,meronym,cheek,wordnet/conceptnet,always true
Rosie Perez,hypernym,person,wikidata,always true
Floyd Odlum,hypernym,person,wikidata,always true
2018,release year,Driven to Dance,wikidata,always true
peacock,meronym,chin,wordnet/conceptnet,always true
Sarah Thomas,child,Thomas Appleton,wikidata,always true
immune,hypernym,person,wordnet/conceptnet,always true
Bronson M.,child,William Bayard Cutting,wikidata,always true
gravel,hypernym,material,wordnet/conceptnet,always true
Denmark,hypernym,country,wikidata,always true
mullet,meronym,brow,wordnet/conceptnet,always true
MetLife,hypernym,company,wikidata,always true
cod,meronym,snout,wordnet/conceptnet,always true
Becky Corman,hypernym,person,wikidata,always true
Kath Malmberg,hypernym,person,wikidata,always true
mist,hypernym,cloud,wordnet/conceptnet,always true
Clarence Brown,spouse,Alice Joyce,wikidata,always true
Eric Gillette,band member,The Neal Morse Band,wikidata,always true
faith,hypernym,quality,wordnet/conceptnet,always true
sir,meronym,organelle,wordnet/conceptnet,always true
Maza Pati Karodpati,hypernym,movie,wikidata,always true
Dustin Nguyen,director,Jackpot,wikidata,always true
The Mr. T Experience,hypernym,band,wikidata,always true
